3965356009,8.26032,2, 3779252151
4065356009,8.36032,1, 3965356009
3031607509,11.6215,3, 2949489687
3131607509,11.7215,3, 3031607509
3231607509,11.8215,2, 3131607509
3331607509,11.9215,1, 3231607509
3431607509,12.0215,1, 3331607509
300966873,13.1859,1, 195582309
697600880,13.5825,3, 592098571
1529076869,14.414,4, 1396609735
32611060,17.2125,3, 3998059567
132611060,17.3125,2, 38952559
1204715813,18.3846,2, 1110862503
1639309746,18.8192,2, 1581644309
805032704,5.1,1, 1
1065790325,5.36076,5, 962729389
30692453,8.62063,3, 4135748732
464529399,9.05446,4, 40781436
