2423924323,6.71889,1, 2039396730
3084716076,7.37968,1, 2985295322
3184716076,7.47968,5, 3079774695
3284716076,7.57968,2, 3184716076
253485534,8.84342,2, 155516705
353485534,8.94342,1, 253485534
1702808930,10.2927,2, 1622009504
2768314378,11.3582,2, 2709370760
2868314378,11.4582,4, 2809370760
2968314378,11.5582,4, 2868314378
392098571,13.277,2, 295582309
492098571,13.377,3, 392098571
592098571,13.477,4, 450569667
692098571,13.577,2, 592098571
3078453665,15.9634,3, 2939918522
3178453665,16.0634,3, 3111537829
1634550481,18.8144,2, 1374056457
1734550481,18.9144,4, 1581644309
